---------------------------- PROCESS STARTED (11508) for package com.example.mg4_2 ----------------------------
2026-02-18 00:11:38.709 11508-11508 MG4_HW                                   com.example.mg4_2                    I  Car.createCar() başarılı, onServiceConnected bekleniyor...
2026-02-18 00:11:38.709 11508-11508 MG4_SERVICE                              com.example.mg4_2                    I  Car.connect() çağrıldı
2026-02-18 00:11:38.715 11508-11508 MG4_SERVICE                              com.example.mg4_2                    I  Hardkey receiver kayıt edildi. keycode=17
2026-02-18 00:11:50.434 11508-11508 MG4_HW                                   com.example.mg4_2                    I  setDriveMode → Eco (2)
2026-02-18 00:11:50.434 11508-11508 MG4_HW                                   com.example.mg4_2                    E  CarPropertyManager henüz hazır değil!
2026-02-18 00:11:57.664 11508-11508 MG4_HW                                   com.example.mg4_2                    I  setOnePedal → Açık
2026-02-18 00:11:57.664 11508-11508 MG4_HW                                   com.example.mg4_2                    E  CarPropertyManager henüz hazır değil!
2026-02-18 00:12:00.058 11508-11508 MG4_HW                                   com.example.mg4_2                    I  setOnePedal → Kapalı
2026-02-18 00:12:00.058 11508-11508 MG4_HW                                   com.example.mg4_2                    E  CarPropertyManager henüz hazır değil!
2026-02-18 00:12:02.887  3523-3859  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  getProperty, propId: 0x2140a10c, area: 0x0, class: class java.lang.Integer, val: 0
2026-02-18 00:12:05.123  3523-3578  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  setProperty, propId: 0x2140a17c, class: class java.lang.Integer, value: 4
2026-02-18 00:12:05.372  2877-2877  CarAdvancedAssistedDrivingManager        com.android.car                      I  onChangeEvent,PropID,area,value:557883789_16777216_3
2026-02-18 00:12:05.372  2877-2877  CarAdvancedAssistedDrivingManager        com.android.car                      I  onChangeEvent,PropID,area,value:557883790_16777216_2
2026-02-18 00:12:05.372  2877-2877  CarAdvancedAssistedDrivingManager        com.android.car                      I  onChangeEvent,PropID,area,value:557883772_16777216_4
2026-02-18 00:12:05.372  3523-3523  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  onChangeEvent,PropID,area,value:557883789_16777216_3
2026-02-18 00:12:05.374  3523-3523  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  onChangeEvent,PropID,area,value:557883790_16777216_2
2026-02-18 00:12:05.375  3523-3523  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  onChangeEvent,PropID,area,value:557883772_16777216_4
2026-02-18 00:12:07.777  3523-3578  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  setProperty, propId: 0x2140a17c, class: class java.lang.Integer, value: 6
2026-02-18 00:12:08.068  2877-2877  CarAdvancedAssistedDrivingManager        com.android.car                      I  onChangeEvent,PropID,area,value:557883772_16777216_6
2026-02-18 00:12:08.069  3523-3523  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  onChangeEvent,PropID,area,value:557883772_16777216_6
2026-02-18 00:12:08.242  2877-2877  CarAdvancedAssistedDrivingManager        com.android.car                      I  onChangeEvent,PropID,area,value:557883793_16777216_0
2026-02-18 00:12:08.242  2877-2877  CarAdvancedAssistedDrivingManager        com.android.car                      I  onChangeEvent,PropID,area,value:557883804_16777216_1
2026-02-18 00:12:08.245  3523-3523  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  onChangeEvent,PropID,area,value:557883793_16777216_0
2026-02-18 00:12:08.246  3523-3523  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  onChangeEvent,PropID,area,value:557883804_16777216_1
2026-02-18 00:12:09.079  3523-3578  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  setProperty, propId: 0x2140a17c, class: class java.lang.Integer, value: 2
2026-02-18 00:12:09.362  2877-2877  CarAdvancedAssistedDrivingManager        com.android.car                      I  onChangeEvent,PropID,area,value:557883789_16777216_1
2026-02-18 00:12:09.363  2877-2877  CarAdvancedAssistedDrivingManager        com.android.car                      I  onChangeEvent,PropID,area,value:557883772_16777216_2
2026-02-18 00:12:09.363  3523-3523  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  onChangeEvent,PropID,area,value:557883789_16777216_1
2026-02-18 00:12:09.363  3523-3523  CarAdvancedAssistedDrivingManager        com.saicmotor.service.vehicle        I  onChangeEvent,PropID,area,value:557883772_16777216_2
